Date,Open,High,Low,Close,Volume
2007-09-30,0.8832,0.8832,0.8832,0.8832,0
2007-10-07,0.8823,0.8823,0.8822,0.8822,0
2007-10-14,0.8799,0.8799,0.8799,0.8799,0
2007-10-21,0.8598,0.8599,0.8594,0.8594,0
2007-10-22,0.862,0.87,0.8607,0.8686,0
2007-10-23,0.8685,0.8736,0.8606,0.872,0
2007-10-24,0.8719,0.8768,0.8672,0.8742,0
2007-10-25,0.8741,0.8804,0.8715,0.8793,0
2007-10-26,0.8792,0.8842,0.8755,0.884,0
2007-10-28,0.8842,0.8865,0.8835,0.8861,0
2007-10-29,0.8862,0.8899,0.8751,0.877,0
2007-10-30,0.8769,0.8812,0.8738,0.8805,0
2007-10-31,0.8806,0.8841,0.8766,0.8806,0
2007-11-01,0.8805,0.8827,0.8671,0.871,0
2007-11-02,0.8711,0.8726,0.8562,0.8632,0
2007-11-04,0.8621,0.863,0.8603,0.8614,0
2007-11-05,0.8617,0.8637,0.8545,0.8604,0
2007-11-06,0.8605,0.8609,0.8506,0.8537,0
2007-11-07,0.8536,0.8665,0.8493,0.8597,0
2007-11-08,0.8599,0.8697,0.8573,0.8639,0
2007-11-09,0.8638,0.8654,0.8555,0.8615,0
2007-11-11,0.856,0.8579,0.8441,0.8487,0
2007-11-12,0.8489,0.8581,0.8432,0.8563,0
2007-11-13,0.8564,0.8662,0.8526,0.865,0
2007-11-14,0.8649,0.8699,0.8593,0.867,0
2007-11-15,0.8671,0.8757,0.8612,0.8723,0
2007-11-16,0.8724,0.8758,0.8656,0.8693,0
2007-11-18,0.8761,0.8765,0.8694,0.8696,0
2007-11-19,0.8695,0.8737,0.8633,0.8689,0
2007-11-20,0.8688,0.8784,0.8667,0.8698,0
2007-11-21,0.8697,0.872,0.8544,0.8592,0
2007-11-22,0.8593,0.8621,0.8556,0.8579,0
2007-11-23,0.8578,0.869,0.8548,0.8677,0
2007-11-25,0.8697,0.8713,0.8666,0.8702,0
2007-11-26,0.8703,0.8716,0.8589,0.8676,0
2007-11-27,0.8675,0.8757,0.8649,0.8724,0
2007-11-28,0.8725,0.8791,0.8691,0.8732,0
2007-11-29,0.8733,0.8861,0.8692,0.8839,0
2007-11-30,0.884,0.8886,0.8806,0.8835,0
2007-12-02,0.883,0.8853,0.8793,0.8803,0
2007-12-03,0.8804,0.8865,0.8753,0.8771,0
2007-12-04,0.877,0.8886,0.8756,0.8835,0
2007-12-05,0.8836,0.8868,0.8791,0.8849,0
2007-12-06,0.885,0.8885,0.8824,0.8868,0
2007-12-07,0.8869,0.8883,0.8765,0.8812,0
2007-12-09,0.8784,0.8829,0.8769,0.8828,0
2007-12-10,0.8827,0.8949,0.8808,0.8945,0
2007-12-11,0.8946,0.8989,0.8841,0.8866,0
2007-12-12,0.8867,0.8992,0.8839,0.8935,0
2007-12-13,0.8934,0.8965,0.8895,0.894,0
2007-12-14,0.8939,0.8954,0.8738,0.8759,0
2007-12-16,0.8783,0.8814,0.876,0.876,0
2007-12-17,0.8761,0.8775,0.8598,0.8648,0
2007-12-18,0.8651,0.8743,0.8611,0.8673,0
2007-12-19,0.8672,0.8706,0.8591,0.8593,0
2007-12-20,0.8594,0.8639,0.8556,0.8612,0
2007-12-21,0.8613,0.8667,0.8573,0.8604,0
2007-12-23,0.8613,0.8629,0.8601,0.8624,0
2007-12-24,0.8625,0.8646,0.8574,0.8578,0
2007-12-26,0.8597,0.8611,0.8568,0.859,0
2007-12-27,0.8591,0.8626,0.8562,0.8586,0
2007-12-28,0.8585,0.8615,0.8543,0.8601,0
2007-12-30,0.8604,0.863,0.8582,0.8624,0
2007-12-31,0.8625,0.8738,0.8602,0.8736,0
2008-01-01,0.8709,0.873,0.8708,0.8718,0
2008-01-02,0.872,0.8807,0.8689,0.8787,0
2008-01-03,0.8788,0.8788,0.8682,0.8706,0
2008-01-04,0.8707,0.8774,0.8679,0.8749,0
2008-01-06,0.8739,0.8761,0.873,0.875,0
2008-01-07,0.8751,0.8814,0.8713,0.8802,0
2008-01-08,0.8803,0.8887,0.8781,0.8863,0
2008-01-09,0.8864,0.8947,0.8842,0.8931,0
2008-01-10,0.893,0.9071,0.8881,0.9046,0
2008-01-11,0.9047,0.9141,0.9011,0.9081,0
2008-01-13,0.9073,0.914,0.9071,0.9132,0
2008-01-14,0.9131,0.9175,0.9102,0.9158,0
2008-01-15,0.9157,0.9186,0.895,0.9013,0
2008-01-16,0.9012,0.9037,0.8964,0.9015,0
2008-01-17,0.9014,0.9106,0.8962,0.9022,0
2008-01-18,0.9024,0.9073,0.8987,0.9034,0
2008-01-20,0.9023,0.9059,0.8997,0.9013,0
2008-01-21,0.9015,0.9016,0.8851,0.8869,0
2008-01-22,0.887,0.8981,0.8812,0.8891,0
2008-01-23,0.8892,0.8967,0.8846,0.8957,0
2008-01-24,0.8956,0.8959,0.8824,0.8897,0
2008-01-25,0.8898,0.8928,0.8836,0.887,0
2008-01-27,0.8868,0.8901,0.8863,0.8875,0
2008-01-28,0.8876,0.8936,0.8853,0.8918,0
2008-01-29,0.8919,0.8933,0.8836,0.8862,0
2008-01-30,0.8863,0.8916,0.8789,0.8844,0
2008-01-31,0.8843,0.9013,0.884,0.8968,0
2008-02-01,0.8967,0.904,0.8956,0.9001,0
2008-02-03,0.8985,0.9005,0.8972,0.8995,0
2008-02-04,0.8996,0.9085,0.8987,0.9024,0
2008-02-05,0.9025,0.9088,0.8995,0.9025,0
2008-02-06,0.9024,0.9037,0.8961,0.8986,0
2008-02-07,0.8985,0.9067,0.8961,0.9039,0
2008-02-08,0.9038,0.9042,0.8894,0.8952,0
2008-02-10,0.8961,0.9026,0.8952,0.9013,0
2008-02-11,0.9014,0.9083,0.8996,0.908,0
2008-02-12,0.9081,0.9082,0.9019,0.9043,0
2008-02-13,0.9044,0.9048,0.8922,0.9,0
2008-02-14,0.8999,0.9053,0.898,0.9039,0
2008-02-15,0.9038,0.9168,0.9009,0.9156,0
2008-02-17,0.9171,0.9208,0.9154,0.9202,0
2008-02-18,0.9201,0.9273,0.9171,0.9263,0
2008-02-19,0.9264,0.9376,0.9236,0.9296,0
2008-02-20,0.9297,0.9336,0.9255,0.93,0
2008-02-21,0.9299,0.9325,0.9261,0.9311,0
2008-02-22,0.931,0.9375,0.9304,0.9356,0
2008-02-24,0.9361,0.9362,0.9327,0.9348,0
2008-02-25,0.9347,0.9374,0.9201,0.9266,0
2008-02-26,0.9265,0.9267,0.9131,0.9168,0
2008-02-27,0.9167,0.9281,0.916,0.925,0
