Date,Open,High,Low,Close,Volume
2007-09-30,0.8832,0.8832,0.8832,0.8832,0
2007-10-31,0.8823,0.8899,0.8594,0.8806,0
2007-11-30,0.8805,0.8886,0.8432,0.8835,0
2007-12-31,0.883,0.8992,0.8543,0.8736,0
2008-01-31,0.8709,0.9186,0.8679,0.8968,0
2008-02-29,0.8967,0.9376,0.8894,0.9198,0
2008-03-31,0.92,0.9443,0.9103,0.9315,0
2008-04-30,0.9316,0.9701,0.9158,0.9469,0
2008-05-31,0.947,0.9617,0.9299,0.9499,0
2008-06-30,1.0417,1.0525,0.9531,0.977,0
2008-07-31,0.9769,0.9848,0.9591,0.9601,0
2008-08-31,0.96,0.9661,0.8924,0.9111,0
2008-09-30,0.9112,0.9126,0.8314,0.8463,0
2008-10-31,0.8462,0.8497,0.7172,0.81,0
2008-11-30,0.8092,0.8227,0.7826,0.8062,0
2008-12-31,0.8061,0.8661,0.7893,0.8661,0
2009-01-31,0.8625,0.8691,0.7782,0.7834,0
2009-02-28,0.7828,0.8367,0.773,0.8158,0
2009-03-31,0.8171,0.8798,0.8058,0.8732,0
2009-04-30,0.8729,0.8945,0.8553,0.8673,0
2009-05-31,0.8673,0.8993,0.8644,0.8752,0
2009-06-30,0.8753,0.9392,0.8744,0.9359,0
2009-07-31,0.936,0.9367,0.8795,0.9002,0
2009-08-31,0.8993,0.9274,0.895,0.9222,0
2009-09-30,0.9223,0.9522,0.9096,0.9433,0
2009-10-31,0.9434,0.9838,0.9335,0.9742,0
2009-11-30,0.9721,0.9915,0.9564,0.9641,0
2009-12-31,0.9641,0.9793,0.9195,0.9452,0
2010-01-31,0.9449,0.9632,0.9364,0.9443,0
2010-02-28,0.9444,0.9474,0.9227,0.9442,0
2010-03-31,0.9442,0.9469,0.9252,0.9287,0
2010-04-30,0.9288,0.9445,0.9177,0.9405,0
2010-05-31,0.9389,0.9431,0.8647,0.8748,0
2010-06-30,0.8747,0.9111,0.8579,0.8886,0
2010-07-31,0.8887,0.9355,0.8869,0.9306,0
2010-08-31,0.9311,0.9577,0.9212,0.9559,0
2010-09-30,0.9558,1.0022,0.9458,0.9968,0
2010-10-31,0.9968,1.0153,0.9786,1.0047,0
2010-11-30,1.0046,1.0205,0.9773,0.9802,0
2010-12-31,0.9803,1.0199,0.9734,1.0186,0
2011-01-31,1.0147,1.0165,0.9702,1.0011,0
2011-02-28,1.0012,1.0124,0.9832,0.9858,0
2011-03-31,0.9858,1.0116,0.9631,1.0029,0
2011-04-30,1.003,1.0442,0.9938,1.0364,0
2011-05-31,1.0365,1.0491,1.019,1.0394,0
2011-06-30,1.0394,1.0553,1.0232,1.0301,0
2011-07-31,1.0301,1.0533,1.0123,1.0513,0
2011-08-31,1.0512,1.0532,0.9913,1.0455,0
2011-09-30,1.0455,1.0513,0.9979,1.0144,0
2011-10-31,1.0128,1.0662,0.9936,1.0485,0
2011-11-30,1.0484,1.0596,1.0108,1.0428,0
2011-12-31,1.0429,1.04574,1.02544,1.04253,0
2012-01-31,1.04143,1.06866,1.03906,1.06415,0
2012-02-29,1.06419,1.07819,1.0596,1.06361,0
2012-03-31,1.0636,1.06568,1.03093,1.03221,0
2012-04-30,1.04058,1.04075,1.01542,1.02763,0
2012-05-31,1.02761,1.02875,0.99536,1.00231,0
2012-06-30,1.00228,1.04531,0.99961,1.0415,0
2012-07-31,1.04312,1.05507,1.0319,1.05187,0
2012-08-31,1.05188,1.05971,1.01695,1.0176,0
2012-09-30,1.01584,1.02709,1.00523,1.01785,0
2012-10-31,1.01788,1.03881,0.99239,1.03753,0
2012-11-30,1.03743,1.04681,1.02828,1.03663,0
2012-12-31,1.0354,1.04268,1.02666,1.03115,0
2013-01-31,1.0324,1.05453,1.02841,1.0361,0
2013-02-28,1.03609,1.05773,1.02383,1.05334,0
2013-03-31,1.05333,1.07154,1.04232,1.05778,0
2013-04-30,1.05773,1.07133,1.04289,1.04335,0
2013-05-31,1.04343,1.0436,0.98838,0.99283,0
2013-06-30,0.99808,1.00628,0.94807,0.96483,0
2013-07-31,0.96485,0.97124,0.91702,0.92206,0
2013-08-31,0.92207,0.95332,0.91933,0.9375,0
2013-09-30,0.94163,0.97373,0.93988,0.96269,0
2013-10-31,0.96265,1.00457,0.96253,0.98781,0
2013-11-30,0.98783,0.99647,0.95834,0.9664,0
2013-12-31,0.96952,0.97447,0.94204,0.94831,0
2014-01-31,0.94563,0.98982,0.94094,0.97395,0
2014-02-28,0.97415,1.00572,0.96936,0.9873,0
2014-03-31,0.98528,1.03139,0.98238,1.02379,0
2014-04-30,1.02378,1.03475,1.0139,1.01902,0
2014-05-31,1.01904,1.02619,1.00073,1.00963,0
2014-06-30,1.00767,1.02406,1.00259,1.00498,0
2014-07-31,1.00499,1.01904,0.99351,1.01439,0
2014-08-31,1.0144,1.02324,1.01025,1.0153,0
2014-09-30,1.01531,1.02328,0.97038,0.97296,0
2014-10-31,0.97297,0.99582,0.96836,0.99025,0
2014-11-30,0.98765,0.99871,0.9567,0.96585,0
2014-12-31,0.96585,0.9694,0.93966,0.94821,0
2015-01-31,0.95017,1.00846,0.9457,0.98772,0
2015-02-28,0.9849,0.99653,0.9589,0.9768,0
2015-03-31,0.97605,0.9882,0.96275,0.96562,0
2015-04-30,0.9656,0.97145,0.941,0.95429,0
2015-05-31,0.9543,0.97473,0.9438,0.95275,0
2015-06-30,0.95278,0.9717,0.93639,0.9655,0
2015-07-31,0.96551,0.9656,0.94044,0.95478,0
2015-08-31,0.958,0.97484,0.93292,0.93739,0
2015-09-30,0.93739,0.95193,0.91498,0.93738,0
2015-10-31,0.93736,0.9583,0.92514,0.93258,0
2015-11-30,0.92988,0.97067,0.92964,0.96953,0
2015-12-31,0.96955,1.01695,0.96831,1.00817,0
2016-01-31,1.00601,1.01173,0.98226,0.99017,0
2016-02-29,0.99013,0.99652,0.96186,0.96539,0
2016-03-31,0.9654,1.00535,0.95976,0.99712,0
2016-04-30,0.9971,1.00253,0.95251,0.9542,0
2016-05-31,0.95352,0.9655,0.93217,0.95098,0
2016-06-30,0.95096,0.97501,0.93897,0.96629,0
2016-07-31,0.9663,0.9971,0.96122,0.99132,0
2016-08-31,0.99132,1.01107,0.9761,0.98754,0
2016-09-30,0.98755,1.01573,0.97912,1.00504,0
2016-10-31,1.00508,1.02851,0.99573,1.02617,0
2016-11-30,1.02622,1.03973,0.98603,0.99232,0
2016-12-31,0.99234,0.99389,0.96737,0.96832,0
2017-01-31,0.96829,1.01015,0.95976,0.98991,0
2017-02-28,0.98994,1.02287,0.9873,1.01956,0
2017-03-31,1.0196,1.03335,1.01033,1.01551,0
2017-04-30,1.01544,1.0267,0.99248,1.02312,0
2017-05-31,1.02311,1.03453,0.99741,0.99818,0
2017-06-30,0.99812,1.02108,0.99204,0.99612,0
2017-07-31,0.99598,1.00566,0.97354,1.00309,0
2017-08-31,1.00306,1.00736,0.98697,0.99011,0
2017-09-30,0.99011,0.99262,0.9693,0.97611,0
2017-10-31,0.97719,0.98908,0.96961,0.98885,0
2017-11-30,0.98884,0.99165,0.96119,0.97405,0
2017-12-31,0.97405,0.98814,0.95788,0.98137,0
2018-01-31,0.97837,1.00098,0.97106,0.98968,0
2018-02-28,0.98967,0.99916,0.97824,0.9927,0
2018-03-31,0.99272,1.02427,0.98735,0.99002,0
2018-04-30,0.99127,0.99224,0.96594,0.96714,0
2018-05-31,0.96711,0.98384,0.9554,0.97803,0
2018-06-30,0.97805,0.99341,0.97095,0.97167,0
2018-07-31,0.97336,0.98134,0.9622,0.96493,0
2018-08-31,0.96494,0.97064,0.93619,0.93695,0
2018-09-30,0.94007,0.95172,0.92583,0.92648,0
2018-10-31,0.92648,0.9373,0.91045,0.93688,0
2018-11-30,0.93688,0.97484,0.93617,0.97029,0
2018-12-31,0.97611,0.97747,0.95422,0.9601,0
2019-01-31,0.96118,0.96134,0.92657,0.95174,0
2019-02-28,0.95176,0.95502,0.93175,0.9334,0
2019-03-31,0.93338,0.95624,0.93152,0.94987,0
2019-04-30,0.94988,0.96139,0.94144,0.94329,0
2019-05-31,0.94329,0.94589,0.92008,0.93683,0
2019-06-30,0.93648,0.93954,0.91047,0.91704,0
2019-07-31,0.91704,0.92468,0.9015,0.90465,0
2019-08-31,0.90464,0.90671,0.88884,0.89658,0
2019-09-30,0.89569,0.91439,0.89198,0.89285,0
2019-10-31,0.89284,0.91189,0.88346,0.90819,0
