Date,Open,High,Low,Close,Volume
2007-09-30,0.8832,0.8832,0.8832,0.8832,0
2007-10-07,0.8823,0.8823,0.8822,0.8822,0
2007-10-14,0.8799,0.8799,0.8799,0.8799,0
2007-10-21,0.8598,0.8599,0.8594,0.8594,0
2007-10-28,0.862,0.8865,0.8606,0.8861,0
2007-11-04,0.8862,0.8899,0.8562,0.8614,0
2007-11-11,0.8617,0.8697,0.8441,0.8487,0
2007-11-18,0.8489,0.8765,0.8432,0.8696,0
2007-11-25,0.8695,0.8784,0.8544,0.8702,0
2007-12-02,0.8703,0.8886,0.8589,0.8803,0
2007-12-09,0.8804,0.8886,0.8753,0.8828,0
2007-12-16,0.8827,0.8992,0.8738,0.876,0
2007-12-23,0.8761,0.8775,0.8556,0.8624,0
2007-12-30,0.8625,0.8646,0.8543,0.8624,0
2008-01-06,0.8625,0.8807,0.8602,0.875,0
2008-01-13,0.8751,0.9141,0.8713,0.9132,0
2008-01-20,0.9131,0.9186,0.895,0.9013,0
2008-01-27,0.9015,0.9016,0.8812,0.8875,0
2008-02-03,0.8876,0.904,0.8789,0.8995,0
2008-02-10,0.8996,0.9088,0.8894,0.9013,0
2008-02-17,0.9014,0.9208,0.8922,0.9202,0
2008-02-24,0.9201,0.9376,0.9171,0.9348,0
2008-03-02,0.9347,0.9374,0.9131,0.9207,0
2008-03-09,0.9206,0.9322,0.911,0.9199,0
2008-03-16,0.9201,0.9385,0.9103,0.9179,0
2008-03-23,0.918,0.9333,0.9107,0.9253,0
2008-03-30,0.9254,0.9443,0.9208,0.9376,0
2008-04-06,0.9377,0.9407,0.9158,0.9267,0
2008-04-13,0.9268,0.9533,0.9249,0.9468,0
2008-04-20,0.9467,0.95,0.9341,0.9426,0
2008-04-27,0.9427,0.9701,0.9417,0.945,0
2008-05-04,0.9449,0.9566,0.9414,0.9553,0
2008-05-11,0.9552,0.9617,0.9441,0.946,0
2008-05-18,0.9459,0.9573,0.9299,0.9535,0
2008-05-25,0.9534,0.9549,0.9408,0.9492,0
2008-06-01,0.9491,1.0442,0.9406,1.0437,0
2008-06-08,1.0438,1.0525,0.9778,0.978,0
2008-06-15,0.9779,0.9842,0.9531,0.9669,0
2008-06-22,0.967,0.9739,0.9576,0.9697,0
2008-06-29,0.9698,0.975,0.9649,0.9717,0
2008-07-06,0.9718,0.9836,0.969,0.9805,0
2008-07-13,0.9806,0.982,0.9639,0.9778,0
2008-07-20,0.9777,0.9848,0.973,0.9812,0
2008-07-27,0.9813,0.9829,0.9665,0.973,0
2008-08-03,0.9731,0.9819,0.9535,0.9585,0
2008-08-10,0.9584,0.9661,0.9407,0.9467,0
2008-08-17,0.9466,0.9541,0.9154,0.9243,0
2008-08-24,0.9242,0.9294,0.9049,0.9066,0
2008-08-31,0.9067,0.9152,0.8924,0.9111,0
2008-09-07,0.9112,0.9126,0.8577,0.8779,0
2008-09-14,0.8778,0.8831,0.8502,0.8707,0
2008-09-21,0.8704,0.8798,0.8395,0.8715,0
2008-09-28,0.8716,0.8814,0.8543,0.8601,0
2008-10-05,0.86,0.8612,0.8178,0.8201,0
2008-10-12,0.8203,0.8213,0.7172,0.7812,0
2008-10-19,0.781,0.83,0.773,0.8242,0
2008-10-26,0.8238,0.8496,0.7683,0.7894,0
2008-11-02,0.7893,0.8326,0.7769,0.8154,0
2008-11-09,0.8152,0.8195,0.7838,0.8073,0
2008-11-16,0.807,0.8227,0.7826,0.8008,0
2008-11-23,0.8009,0.8122,0.7848,0.8009,0
2008-11-30,0.8008,0.8157,0.7861,0.8062,0
2008-12-07,0.8061,0.8307,0.7893,0.8268,0
2008-12-14,0.8269,0.8396,0.8105,0.8286,0
2008-12-21,0.8285,0.85,0.8146,0.8282,0
2008-12-28,0.8281,0.8404,0.822,0.8337,0
2009-01-04,0.8336,0.8665,0.8311,0.863,0
2009-01-11,0.8632,0.8691,0.8235,0.8248,0
2009-01-18,0.8249,0.8487,0.8088,0.8445,0
2009-01-25,0.8444,0.8469,0.8042,0.8087,0
2009-02-01,0.8089,0.8227,0.7781,0.7792,0
2009-02-08,0.7793,0.8367,0.773,0.8185,0
2009-02-15,0.8184,0.8355,0.8036,0.8108,0
2009-02-22,0.8109,0.8157,0.7995,0.8083,0
2009-03-01,0.8084,0.8188,0.7987,0.8073,0
2009-03-08,0.8083,0.8358,0.807,0.8233,0
2009-03-15,0.8234,0.839,0.8192,0.8364,0
2009-03-22,0.8363,0.8607,0.8345,0.8597,0
2009-03-29,0.8596,0.8664,0.8526,0.8554,0
2009-04-05,0.8555,0.8942,0.8469,0.8813,0
2009-04-12,0.8813,0.8932,0.8741,0.8868,0
2009-04-19,0.8867,0.8945,0.8657,0.8738,0
2009-04-26,0.8739,0.8824,0.8612,0.8664,0
2009-05-03,0.8663,0.8783,0.8553,0.8687,0
2009-05-10,0.8688,0.8886,0.8663,0.883,0
2009-05-17,0.8829,0.8926,0.8783,0.8816,0
2009-05-24,0.8815,0.8993,0.8735,0.8744,0
2009-05-31,0.8744,0.8812,0.8689,0.8752,0
2009-06-07,0.8753,0.8933,0.8744,0.8905,0
2009-06-14,0.8905,0.9113,0.8754,0.9067,0
2009-06-21,0.9066,0.9164,0.8926,0.9102,0
2009-06-28,0.9102,0.9313,0.9011,0.927,0
2009-07-05,0.9271,0.9392,0.9176,0.9218,0
2009-07-12,0.9218,0.9287,0.9012,0.9046,0
2009-07-19,0.9045,0.906,0.8911,0.8924,0
2009-07-26,0.8924,0.9048,0.8795,0.8897,0
2009-08-02,0.8896,0.9031,0.8864,0.9023,0
2009-08-09,0.9022,0.9109,0.895,0.9076,0
2009-08-16,0.9076,0.9197,0.9031,0.9082,0
2009-08-23,0.9083,0.9139,0.8982,0.9057,0
2009-08-30,0.9058,0.9229,0.8984,0.9181,0
2009-09-06,0.9182,0.9276,0.9096,0.9237,0
2009-09-13,0.9236,0.9344,0.9197,0.9286,0
2009-09-20,0.9285,0.9368,0.9245,0.9259,0
2009-09-27,0.9259,0.949,0.9249,0.9433,0
2009-10-04,0.9432,0.9522,0.9339,0.9376,0
2009-10-11,0.9377,0.9577,0.9366,0.9412,0
2009-10-18,0.9413,0.9546,0.9335,0.9516,0
2009-10-25,0.9516,0.9753,0.9512,0.9722,0
2009-11-01,0.9722,0.9838,0.9656,0.9744,0
2009-11-08,0.9744,0.9915,0.9579,0.9893,0
2009-11-15,0.9892,0.9897,0.9705,0.9792,0
2009-11-22,0.9791,0.983,0.9712,0.978,0
2009-11-29,0.9781,0.981,0.9564,0.9689,0
